"source_file","slide_number","title","body_text","speaker_notes","shape_count","picture_count","table_count","chart_count","smartart_count","media_count","text_characters"
"9月份改掌運卡.pptx","11","四種花色所象徵","四種花色所象徵
之S不同意義
黑桃Spade：
男性的、陽剛的、標準的、堅持的、有能量的、堅定、毅力、
勇氣、強而有力、力量、 果斷、固執、很保護自己、堅毅、
自由、創造、勇敢、強壯、巨大、太陽、忠誠、 國王、智者、
樹木、明理、公正、公私分明、個性直爽、很懂的溝通、
明確的、正面陽光的、專注的、木訥的、霸氣的、率直的、
持久的、堅定的穩定的、強壯的、扎實的
給身邊的人一 種嚴肅不易靠近的
10
S","","7","0","0","0","0","0","201"
"9月份改掌運卡.pptx","12","紅心Heart：","紅心Heart：
女性的，柔情的、溫暖的、有愛的、善良的、柔弱的、細膩、親切、智慧、愛情、 溫柔、有愛心、貼心、懂事、有包容心、容易感動、呵護、可愛的、善解人意、 歡喜的、甜蜜的、旺盛
圓滿的、熱情的、月亮、慵懶、皇后、水、愛、浪漫主義者、很會觀察人、事、物
做事小心翼翼、就算有想法但行動一樣放慢、合群、
悶燒型主義者
11
H
四種花色所象徵
之H不同意義","","7","0","0","0","0","0","180"
"9月份改掌運卡.pptx","13","紅磚Diamond：","紅磚Diamond：
金錢、事業、權力的、有力量的、有影響力的、有智慧、強悍、堅硬的、積極、鑽石、 敢做、有方向、目標正確、熱心、慾望、富有、光榮、富足、鑽石、尖銳、火、堅硬、 強勢、小心眼的
挑剔的、鑽牛角尖、精明的、強烈的追根究底的
主動帶動氣氛、樂觀、講話很有力道、
看到問題喜歡給人意見、讓對方知道自己的想法
12
D
四種花色所象徵
之D不同意義","","7","0","0","0","0","0","178"
"9月份改掌運卡.pptx","14","黑梅Clud：","黑梅Clud：
消極、延遲的、破壞的、不再用心的、比原來狀態差的、懦弱的、無能的、無能為力、 無力感、無情的、傷心的、悲傷、失去、
消失、消耗、失望、灰心、悲觀、氣餒、 壓力、重擔、玻璃心、心煩、無方向、無目標、容易動搖、不專心、無形壓力、頹廢、 散慢、無心、無助、失望、落寞、恐慌慌張的、眼淚、沮喪、
悲傷、多事、煩惱、暴躁、無道德感、混亂、恍神、失當
無所不用其極、用手段以達目的意思
13
C
四種花色所象徵
之C不同意義","","7","0","0","0","0","0","214"
"9月份改掌運卡.pptx","15","A到K
探索自我之路","A到K
探索自我之路
14
很久很久以前，有個小王子踏上一段探索內心與命運的旅程。
他知道，這世界很大，真正的方向得靠自己找。
A. 他先全心全意地朝目標出發，不讓一絲懷疑干擾自己
2. 但路上出現了鬼惑，讓他陷入誘惑與迷惘，
他開始懷疑自己的選擇是否正確
3. 在掙扎迷惑之中最後戰勝也產生了自覺，重新定位內心的聲音
4. 此時風沙漫天而來，順勢而行，接受變動
5. 他逐漸找回內在信念，如同磐石般堅定
6. 面前出現一道難題，他憑藉智慧解開難解之結，才得以繼續前行
7. 一場風雨後，他終於看見天空出現美麗的彩虹，
明白每段經歷都有其美好
8. 他站在山頂，看著夜空的滿月，體悟內外圓滿的平衡之道
9. 要繼續往前，他必須利斧般果斷，學會割捨與抉擇
10. 他終於理解，真正的財富之神不在黃金珠寶，而是在內心的富足
J. 戰士當危機來臨，他化身刀戰士，勇敢行動、果斷決策
Q. 皇后媽媽在智慧與慈悲中，她引領導小王子走向更寬廣的道路
K. 國王
它是每個人的內在旅程——當我們從1走到K，其實就是從迷惘走向清明，從依賴走向自主，從探索走向掌握","","3","0","0","0","0","0","473"
"9月份改掌運卡.pptx","16","初始階段：探索與動機","初始階段：探索與動機
• A 全心全意 ➜ 我想做我渴望擁有
• 2 鬼惑 ➜ 我卡住了，內心有阻礙
• 3 自覺 ➜ 我開始看見問題，理性/感性兩面
• 4 風之塵 ➜ 我想快樂自在
中段階段：拉扯與學習
• 5 磐石 ➜ 我會穩定，開始穩下來
• 6 難解之結 ➜ 我遇到死結，需要學會放下
• 7 美麗的彩虹 ➜ 我美好的期待，有夢，但尚未實現
• 8 滿月 ➜ 我成熟可實現，事事圓滿
轉化階段：行動與清理
• 9 利斧 ➜ 我要具備能力，學習操作我的力量
• 10 財富之神 ➜ 我不在乎外在的眼光我找到自己的價值自得其樂擁有榮華
領導階段：力量與成全
• J 精銳戰士 ➜ 我才華洋溢衝在前面，有技能可執行
• Q 皇后 ➜ 我是自信強大的氣場自己做決定
• K 國王 ➜ 我是霸氣外露，是被信任的力量核心
15
A到K
探索自省之路","","3","0","0","0","0","0","373"
"9月份改掌運卡.pptx","17","全心全意","對任何所要的都能全心全意的付出、
投入、努力、堅持、以及超級渴望擁有
亦有專注固執刻意為之的意識
(不容改變的心態)
黑梅A就會變得比較消極、猶豫不決、不堅定、無力感、拖延、退卻、
精氣神減弱氣虛
感情：說明沒那麼的愛了、變心了
雙A若任一黑梅在後都是負向的
A
全心全意
16","","11","2","0","0","0","0","139"
"9月份改掌運卡.pptx","18","會有一些阻礙、不順利 反對的力量","會有一些阻礙、不順利 反對的力量
(也許人/職場/感情)
也可以解釋是自己心裡有鬼、自我障礙自我矛盾、心神不寧
也可以解釋為磁場被干擾(不那麼好)焦慮
S、H、D都屬於善意的關心、
不肯定的意思或是質疑
不管S 、 H 、 D都不屬於好牌、
都為不肯定的意思
黑梅2就是真正要對你不利的小人、
職場上的不合、感情的第三者或是官司、磁場混亂或破壞(情緒的混亂)
2
17
鬼惑
S男生
H女生
D物質金錢
雙2都要注意都是不確定牌沒有肯定值
(23467任意花色或8C是不確定牌開高高低低有好和不好的意味或即將走下坡)
有外在(心)
有內在(人)","","9","1","0","0","0","0","272"
"9月份改掌運卡.pptx","19","2 2雙 鬼 合","2 2雙 鬼 合
2 2出現，只要黑梅不是出現在後，
這組牌稱之為(雙鬼合)，能逢凶化吉，
在是否達成某目標問題中代表獲得強大助力，
所以事情將會有好轉的趨勢，
不過畢竟出現了兩張鬼惑，過程中難免紛爭不斷，挫折綿綿，所以執行中務必如履薄冰，步步為營
(雖然能獲得強大助力、須謹慎小心)
如果黑梅出現在後，就表示事情的發展毫無轉圜之地，
有雪上加霜，難上加難的意思(黑梅第一張才是好牌)
(2張都沒有黑梅都逢兇化吉)(二黑梅在後無解雪上加霜)
18
特殊牌卡
逢凶化吉
雪上加霜
(1)逢凶化吉
(2)小心謹慎
(3)雪上加霜","","9","0","0","0","0","0","262"
"9月份改掌運卡.pptx","20","(不確定牌有理性感性兩面)","(不確定牌有理性感性兩面)
黑梅3則是代表想法極度不成熟或是毫無計劃、或是變化無常可言、早晚想的不一樣
(早晚想的不一樣思緒衰弱或毫無想法)(沒有任何想法)
(解牌有3的出現、理解度還要更寬一點)
若問是否為同性戀，出現雙3，不論花色，則結論是非常有可能的
3
自覺
19
1 理性在事業主企劃強、頭腦清晰
(精於規劃的、聰明的)
2 感性在心裡情感上則有單相思、想太多、自私、固執不變、一廂情願、自我矛盾的問題癡心妄想及個人單方面的想法、
心態面/內心面/情感面","","8","2","0","0","0","0","232"
